"source";"target";"Weight"
549;1196;3
549;1793;3
549;3425;3
549;6282;3
549;11732;3
549;12302;3
549;18069;3
549;19157;3
549;22407;3
549;29402;3
549;33045;4
549;44634;3
549;51369;3
549;70779;3
550;893;3
550;1087;3
550;3224;3
550;5197;5
550;7554;6
550;44953;4
550;69741;3
553;3682;3
553;4356;2
553;5537;7
553;16637;3
553;456690;3
554;1775;6
554;3069;4
554;6933;3
557;558;3
557;559;3
557;602;9
557;3622;4
557;6226;3
557;203680;3
559;203680;3
561;8;3
561;4062;4
561;15495;4
561;16478;3
561;21356;4
561;22901;3
561;23704;5
561;80899;4
561;83894;3
561;98477;4
561;212326;4
561;252886;4
561;438373;4
561;483867;4
566;660;4
566;1054;3
566;5894;3
566;7519;5
567;725;3
567;1092;3
567;1139;3
567;10802;3
567;12216;3
568;602;3
568;6994;3
574;1015;3
577;613;3
577;1793;3
577;1795;3
577;1905;4
577;2997;3
577;3593;4
577;4391;4
577;21971;5
577;25348;3
577;27613;4
577;32766;4
577;104804;4
577;124415;4
577;134620;3
579;263;3
579;987;4
579;6593;3
579;9435;3
579;9878;3
583;74;4
583;2040;3
583;2238;7
588;155;3
588;3906;3
588;4168;5
588;17703;3
599;1106;3
599;1193;4
599;3226;4
599;16522;4
599;71767;4
599;74154;4
599;88619;4
599;89775;3
599;105127;3
599;231665;3
599;255904;3
599;676875;3
600;6726;3
600;9680;4
600;14017;3
601;602;3
601;43855;3
601;183625;3
602;848;3
602;1045;3
602;1305;4
602;1827;3
602;2630;3
602;4455;3
602;4504;3
602;4634;3
602;6796;3
602;9005;3
602;13696;3
602;34414;3
602;91831;4
602;190649;4
605;823;4
605;1045;3
605;1633;3
606;1680;3
606;2659;3
606;2796;3
606;70666;5
611;3425;3
611;3689;3
611;21423;3
613;696;3
613;780;3
613;2158;3
613;2562;4
613;3438;3
613;6405;3
613;6459;3
613;10718;3
613;14517;3
613;14624;3
613;14626;3
613;15881;3
613;20383;3
613;94325;3
618;10;3
618;536;3
618;9488;4
618;15988;3
618;24028;3
618;32977;3
618;59024;3
618;61928;3
618;73260;3
618;142246;3
619;620;4
619;1309;3
619;2997;6
619;3699;3
619;11952;3
619;19039;3
619;31029;3
619;32843;7
619;138662;3
620;621;3
620;1907;3
620;2704;4
620;47819;3
621;19117;3
622;6209;3
622;22025;3
622;27754;3
622;28987;3
626;1659;5
626;4491;3
626;6427;3
626;21750;3
626;42336;3
626;50611;3
626;81514;3
626;82714;3
626;97468;3
626;118755;3
626;230756;3
629;635;6
629;3459;3
629;3609;3
629;3816;3
630;1114;6
630;2590;6
630;3153;5
630;3434;7
630;3914;4
630;4168;5
630;4636;5
630;5390;6
630;5642;5
630;21750;6
630;24885;5
630;32943;5
633;3448;3
633;22568;4
635;916;3
635;1358;3
635;1696;3
635;1935;3
635;3459;3
635;4594;3
635;16966;5
644;155;3
648;649;4
648;672;6
648;1835;3
648;6183;4
648;10165;3
648;13818;4
648;24608;3
648;57883;3
648;66323;3
649;672;3
649;41938;3
651;19357;3
651;NA;3
655;536;4
655;11404;4
656;261;3
656;1195;6
656;3125;4
656;4788;4
656;5387;10
656;5944;8
656;13206;3
656;17389;3
656;19807;3
656;29203;3
656;98029;4
660;1195;3
660;1795;3
660;2014;3
660;2035;3
660;6555;5
660;12471;3
660;15674;3
660;20138;3
660;30282;3
660;57921;4
660;59857;3
660;90259;3
660;101330;3
660;162038;3
661;731;5
661;733;3
661;769;3
661;791;3
661;860;3
661;1541;3
661;2775;3
661;4584;3
661;6555;4
661;8617;3
662;660;3
662;1780;5
662;2997;3
665;4504;4
666;14;3
666;1831;3
672;309;3
679;1668;5
679;2123;4
679;6530;3
679;10036;5
679;19263;4
682;155;3
682;947;4
682;1159;3
682;1377;3
682;2113;4
682;2841;3
682;3159;3
682;13471;3
682;26247;3
690;1027;5
690;1029;3
690;3556;14
690;4788;3
690;5720;4
690;9685;4
690;11395;3
690;15126;3
690;32799;4
690;33229;5
690;51779;4
690;56971;13
690;59857;3
690;77149;4
690;80899;3
696;4204;3
696;6405;3
696;6450;3
696;11852;5
696;12630;3
696;63506;3
696;64000;3
696;143807;3
699;10;3
699;2617;3
699;14518;3
699;81535;3
699;103366;3
700;707;3
700;78060;3
703;2349;3
703;8402;3
703;16293;3
703;78817;3
703;128592;3
704;3682;3
704;5667;3
704;7512;3
704;19566;3
705;903;3
705;31355;3
708;717;4
717;994;4
717;1365;4
717;1864;5
717;2383;4
717;3069;3
717;4598;3
718;989;3
718;3373;3
722;114;3
722;155;5
722;630;4
722;3793;3
725;2563;3
725;4259;3
728;731;3
728;733;4
728;1016;6
730;2289;4
730;2657;3
730;2659;3
730;3073;4
730;3866;3
730;4240;3
731;35;3
731;733;3
731;860;4
731;1541;3
731;1653;3
731;2535;3
731;2599;3
731;21941;3
731;53940;3
731;81700;3
733;6555;3
733;8617;3
739;740;6
739;2630;5
739;3866;3
740;905;3
740;1257;4
740;1308;3
740;1309;3
740;2188;3
740;3175;4
740;3866;3
740;24958;4
740;76925;3
740;78589;3
741;2120;3
741;4396;3
741;5991;3
741;5992;3
741;36679;3
747;3846;3
747;4978;3
747;24501;3
751;4788;3
756;19591;3
757;11734;3
