"Id";"country";"actor_name";"edad";"year_nacimiento";"pelis";"series";"genero_def";"edad_inicio_carrera";"genero_cine_main";"porc_genero_cine_main";"type_race";"prob_race";"age_by_picture";"year_nacimiento_from_1875";"author_graph";"profesion_main";"total_trabajos";"porc_profesion_main"
"127611";;"Michael Fassbender";44;1977;37;3;"M";26;"Drama";33;"white";100;40;102;"";;;
"29249";"United States of America";"Vera Farmiga";47;1973;47;4;"F";25;"Drama";49;"white";76;25;98;"";;;
"1299";"United States of America";"Vincent Price";;1911;51;2;"M";;"Terror";36;"white";97;29;36;"";;;
"5027";;"Jaime Chavarri";;;24;0;"M";;"Drama";45;"white";97;45;;"";;;
"2213";"France";"Melvil Poupaud";48;1973;35;0;"M";20;"Drama";50;"white";47;32;98;"";;;
"38207";"United States of America";"Jennie Garth";49;1972;9;8;"F";20;"Drama";45;"white";85;27;97;"";;;
"21672";"United States of America";"Kathryn Erbe";54;1966;14;13;"F";26;"Comedia";38;"white";99;29;91;"";;;
"14452";"United States of America";"Morris Chestnut";52;1969;28;12;"M";22;"Accion";32;"black";100;25;94;"";;;
"133";"Italy";"Pier Paolo Pasolini";;1922;18;0;"M";;"Drama";41;"middle eastern";62;38;47;"";;;
"78214";"United States of America";"Vincent Pastore";74;1946;33;9;"M";44;"Comedia";41;"white";33;48;71;"";;;
"130874";"United States of America";"Leslie Easterbrook";;;17;3;"F";;"Comedia";47;"white";92;33;;"";;;
"19690";"United States of America";"Austin Pendleton";81;1940;39;15;"M";30;"Comedia";49;"middle eastern";38;42;65;"";;;
"102905";"United States of America";"Erik Palladino";52;1968;9;24;"M";33;"Drama";33;"latino hispanic";29;27;93;"";;;
"24991";"Spain";"Eduardo Noriega";47;1973;41;6;"M";23;"Drama";45;"white";44;31;98;"";;;
"222638";"United States of America";"Aubrey Plaza";36;1984;23;9;"F";23;"Comedia";53;"white";74;33;109;"";;;
"13299";"France";"Maurice Chevit";;1923;22;0;"M";;"Comedia";47;"white";49;48;48;"";;;
"98332";"United States of America";"Chris Pratt";41;1979;34;4;"M";23;"Accion";34;"white";68;24;104;"";;;
